Titulo,URL,Descripcion,limpieza,origenes
The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/,Action Adventure Drama             A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middleearth from the Dark Lord Sauron,action adventure drama meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron,action adventur drama meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron
The Hunger Games,/title/tt1392170/,Action Adventure SciFi             Katniss Everdeen voluntarily takes her younger sisters place in the Hunger Games a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death,action adventure scifi katniss everdeen voluntarily takes younger sisters place hunger games televised competition two teenagers twelve districts panem chosen random fight death,action adventur scifi katniss everdeen voluntarili take younger sister place hunger game televis competit two teenag twelv district panem chosen random fight death
Whiplash,/title/tt2582802/,Drama Music             A promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential,drama music promising young drummer enrolls cutthroat music conservatory dreams greatness mentored instructor stop nothing realize students potential,drama music promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop noth realiz student potenti
Good Will Hunting,/title/tt0119217/,Drama Romance             Will Hunting a janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in his life,drama romance hunting janitor mit gift mathematics needs help psychologist find direction life,drama romanc hunt janitor mit gift mathemat need help psychologist find direct life
Kingsman: The Secret Service,/title/tt2802144/,Action Adventure Comedy             A spy organisation recruits a promising street kid into the agencys training program while a global threat emerges from a twisted tech genius,action adventure comedy spy organisation recruits promising street kid agencys training program global threat emerges twisted tech genius,action adventur comedi spi organis recruit promis street kid agenc train program global threat emerg twist tech genius
Aftersun,/title/tt19770238/,Drama             Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didnt,drama sophie reflects shared joy private melancholy holiday took father twenty years earlier memories real imagined fill gaps tries reconcile father knew man didnt,drama sophi reflect share joy privat melancholi holiday took father twenti year earlier memori real imagin fill gap tri reconcil father knew man didnt
Se7en,/title/tt0114369/,Crime Drama Mystery             Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,crime drama mystery two detectives rookie veteran hunt serial killer uses seven deadly sins motives,crime drama mysteri two detect rooki veteran hunt serial killer use seven dead sin motiv
Beautiful Disaster,/title/tt2316548/,Drama Romance             College freshman Abby tries to distance herself from her dark past while resisting her attraction to bad boy Travis,drama romance college freshman abby tries distance dark past resisting attraction bad boy travis,drama romanc colleg freshman abbi tri distanc dark past resist attract bad boy travi
Come Out Fighting,/title/tt10788058/,Action Adventure Drama             Set during World War 2 a squad of American Army soldiers are sent on a mission behind lines to locate their missing commanding officer,action adventure drama set world war 2 squad american army soldiers sent mission behind lines locate missing commanding officer,action adventur drama set world war 2 squad american armi soldier sent mission behind line locat miss command offic
Shang-Chi and the Legend of the Ten Rings,/title/tt9376612/,Action Adventure Fantasy             ShangChi the master of weaponrybased Kung Fu is forced to confront his past after being drawn into the Ten Rings organization,action adventure fantasy shangchi master weaponrybased kung fu forced confront past drawn ten rings organization,action adventur fantasi shangchi master weaponrybas kung fu forc confront past drawn ten ring organ
The Thing with Two Heads,/title/tt0069372/,Comedy SciFi             Doctors are forced to transplant the head of a dying racist surgeon onto the body of a black death row inmate,comedy scifi doctors forced transplant head dying racist surgeon onto body black death row inmate,comedi scifi doctor forc transplant head die racist surgeon onto bodi black death row inmat
Hereditary,/title/tt7784604/,Drama Horror Mystery             A grieving family is haunted by tragic and disturbing occurrences,drama horror mystery grieving family haunted tragic disturbing occurrences,drama horror mysteri griev famili haunt tragic disturb occurr
Scream,/title/tt0117571/,Horror Mystery             A year after the murder of her mother a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game,horror mystery year murder mother teenage girl terrorized masked killer targets friends using scary movies part deadly game,horror mysteri year murder mother teenag girl terror mask killer target friend use scari movi part dead game
Smile,/title/tt15474916/,Horror Mystery Thriller             After witnessing a bizarre traumatic incident involving a patient a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity,horror mystery thriller witnessing bizarre traumatic incident involving patient psychiatrist becomes increasingly convinced threatened uncanny entity,horror mysteri thriller wit bizarr traumat incid involv patient psychiatrist becom increas convinc threaten uncanni entiti
The Meg,/title/tt4779682/,Action Horror SciFi             A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed  the Megalodon,action horror scifi group scientists exploring marianas trench encounter largest marine predator ever existed megalodon,action horror scifi group scientist explor mariana trench encount largest marin predat ever exist megalodon
The Matrix,/title/tt0133093/,Action SciFi             When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence,action scifi beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence,action scifi beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig
Tenet,/title/tt6723592/,Action SciFi Thriller             Armed with only one word Tenet and fighting for the survival of the entire world a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time,action scifi thriller armed one word tenet fighting survival entire world protagonist journeys twilight world international espionage mission unfold something beyond real time,action scifi thriller arm one word tenet fight surviv entir world protagonist journey twilight world intern espionag mission unfold someth beyond real time
Ant-Man,/title/tt0478970/,Action Comedy SciFi             Armed with a supersuit with the astonishing ability to shrink in scale but increase in strength cat burglar Scott Lang must embrace his inner hero and help his mentor Dr Hank Pym pull off a plan that will save the world,action comedy scifi armed supersuit astonishing ability shrink scale increase strength cat burglar scott lang must embrace inner hero help mentor dr hank pym pull plan save world,action comedi scifi arm supersuit astonish abil shrink scale increas strength cat burglar scott lang must embrac inner hero help mentor dr hank pym pull plan save world
Léon: The Professional,/title/tt0110413/,Action Crime Drama             12yearold Mathilda is reluctantly taken in by Léon a professional assassin after her family is murdered An unusual relationship forms as she becomes his protégée and learns the assassins trade,action crime drama 12yearold mathilda reluctantly taken léon professional assassin family murdered unusual relationship forms becomes protégée learns assassins trade,action crime drama 12yearold mathilda reluct taken léon profession assassin famili murder unusu relationship form becom protégé learn assassin trade
Malum,/title/tt9472334/,Drama Horror Thriller             A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her fathers death and a vicious cult,drama horror thriller rookie police officer willingly takes last shift newly decommissioned police station attempt uncover mysterious connection fathers death vicious cult,drama horror thriller rooki polic offic will take last shift newli decommiss polic station attempt uncov mysteri connect father death vicious cult
Inglourious Basterds,/title/tt0361748/,Adventure Drama War             In Nazioccupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish US soldiers coincides with a theatre owners vengeful plans for the same,adventure drama war nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans,adventur drama war nazioccupi franc world war ii plan assassin nazi leader group jewish us soldier coincid theatr owner veng plan
Barbarian,/title/tt15791034/,Horror Mystery Thriller             A woman staying at an Airbnb discovers that the house she has rented is not what it seems,horror mystery thriller woman staying airbnb discovers house rented seems,horror mysteri thriller woman stay airbnb discov hous rent seem
Back to the Future,/title/tt0088763/,Adventure Comedy SciFi             Marty McFly a 17yearold high school student is accidentally sent 30 years into the past in a timetraveling DeLorean invented by his close friend the maverick scientist Doc Brown,adventure comedy scifi marty mcfly 17yearold high school student accidentally sent 30 years past timetraveling delorean invented close friend maverick scientist doc brown,adventur comedi scifi marti mcfli 17yearold high school student accident sent 30 year past timetravel delorean invent close friend maverick scientist doc brown
Ford v Ferrari,/title/tt1950186/,Action Biography Drama             American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966,action biography drama american car designer carroll shelby driver ken miles battle corporate interference laws physics build revolutionary race car ford order defeat ferrari 24 hours le mans 1966,action biographi drama american car design carrol shelbi driver ken mile battl corpor interfer law physic build revolutionari race car ford order defeat ferrari 24 hour le man 1966
Schindler's List,/title/tt0108052/,Biography Drama History             In Germanoccupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis,biography drama history germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis,biographi drama histori germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi
The Unbearable Weight of Massive Talent,/title/tt11291274/,Action Comedy Crime             Moviestar Nick Cage is channeling his iconic characters as hes caught between a superfan and a CIA agent,action comedy crime moviestar nick cage channeling iconic characters hes caught superfan cia agent,action comedi crime moviestar nick cage channel icon charact hes caught superfan cia agent
Prisoners,/title/tt1392214/,Crime Drama Mystery             When Keller Dovers daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts,crime drama mystery keller dovers daughter friend go missing takes matters hands police pursue multiple leads pressure mounts,crime drama mysteri keller dover daughter friend go miss take matter hand polic pursu multipl lead pressur mount
Black Swan,/title/tt0947798/,Drama Thriller             Nina is a talented but unstable ballerina on the verge of stardom Pushed to the breaking point by her artistic director and a seductive rival Ninas grip on reality slips plunging her into a waking nightmare,drama thriller nina talented unstable ballerina verge stardom pushed breaking point artistic director seductive rival ninas grip reality slips plunging waking nightmare,drama thriller nina talent unstabl ballerina verg stardom push break point artist director seduct rival nina grip realiti slip plung wake nightmar
Taxi Driver,/title/tt0075314/,Crime Drama             A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge for violent action,crime drama mentally unstable veteran works nighttime taxi driver new york city perceived decadence sleaze fuels urge violent action,crime drama mental unstabl veteran work nighttim taxi driver new york citi perceiv decad sleaz fuel urg violent action
Shutter Island,/title/tt1130884/,Mystery Thriller             Teddy Daniels and Chuck Aule two US marshals are sent to an asylum on a remote island in order to investigate the disappearance of a patient where Teddy uncovers a shocking truth about the place,mystery thriller teddy daniels chuck aule two us marshals sent asylum remote island order investigate disappearance patient teddy uncovers shocking truth place,mysteri thriller teddi daniel chuck aul two us marshal sent asylum remot island order investig disappear patient teddi uncov shock truth place
We're the Millers,/title/tt1723121/,Comedy Crime             A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the US from Mexico,comedy crime veteran pot dealer creates fake family part plan move huge shipment weed us mexico,comedi crime veteran pot dealer creat fake famili part plan move huge shipment weed us mexico
The Grand Budapest Hotel,/title/tt2278388/,Adventure Comedy Crime             A writer encounters the owner of an aging highclass hotel who tells him of his early years serving as a lobby boy in the hotels glorious years under an exceptional concierge,adventure comedy crime writer encounters owner aging highclass hotel tells early years serving lobby boy hotels glorious years exceptional concierge,adventur comedi crime writer encount owner age highclass hotel tell earli year serv lobbi boy hotel glorious year except concierg
Problemista,/title/tt15078804/,Comedy             Alejandro is an aspiring toy designer from El Salvador struggling to bring his unusual ideas to life in NY As time runs out on his work visa a job assisting an erratic artworld outcast becomes his only hope to stay in the country,comedy alejandro aspiring toy designer el salvador struggling bring unusual ideas life ny time runs work visa job assisting erratic artworld outcast becomes hope stay country,comedi alejandro aspir toy design el salvador struggl bring unusu idea life ny time run work visa job assist errat artworld outcast becom hope stay countri
Fool's Paradise,/title/tt9013340/,Comedy             A fool for love becomes an accidental celebrity only to lose it all,comedy fool love becomes accidental celebrity lose,comedi fool love becom accident celebr lose
Teenage Mutant Ninja Turtles: Mutant Mayhem,/title/tt8589698/,Animation Action Adventure             The Turtle brothers as they work to earn the love of New York City while facing down an army of mutants,animation action adventure turtle brothers work earn love new york city facing army mutants,anim action adventur turtl brother work earn love new york citi face armi mutant
The Gentlemen,/title/tt8367814/,Action Comedy Crime             An American expat tries to sell off his highly profitable marijuana empire in London triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him,action comedy crime american expat tries sell highly profitable marijuana empire london triggering plots schemes bribery blackmail attempt steal domain,action comedi crime american expat tri sell high profit marijuana empir london trigger plot scheme briberi blackmail attempt steal domain
The Outsiders,/title/tt0086066/,Crime Drama             The rivalry between two gangs the poor Greasers and the rich Socs only heats up when one gang member kills a member of the other,crime drama rivalry two gangs poor greasers rich socs heats one gang member kills member,crime drama rivalri two gang poor greaser rich soc heat one gang member kill member
Beetlejuice,/title/tt0094721/,Comedy Fantasy             The spirits of a deceased couple are harassed by an unbearable family that has moved into their home and hire a malicious spirit to drive them out,comedy fantasy spirits deceased couple harassed unbearable family moved home hire malicious spirit drive,comedi fantasi spirit deceas coupl harass unbear famili move home hire malici spirit drive
Gladiator,/title/tt0172495/,Action Adventure Drama             A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,action adventure drama former roman general sets exact vengeance corrupt emperor murdered family sent slavery,action adventur drama former roman general set exact vengeanc corrupt emperor murder famili sent slaveri
King Arthur,/title/tt0349683/,Action Adventure Drama             A demystified take on the tale of King Arthur and the Knights of the Round Table,action adventure drama demystified take tale king arthur knights round table,action adventur drama demystifi take tale king arthur knight round tabl
Transformers,/title/tt0418279/,Action Adventure SciFi             An ancient struggle between two Cybertronian races the heroic Autobots and the evil Decepticons comes to Earth with a clue to the ultimate power held by a teenager,action adventure scifi ancient struggle two cybertronian races heroic autobots evil decepticons comes earth clue ultimate power held teenager,action adventur scifi ancient struggl two cybertronian race heroic autobot evil decepticon come earth clue ultim power held teenag
The French Dispatch,/title/tt8847712/,Comedy Drama Romance             A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in The French Dispatch Magazine,comedy drama romance love letter journalists set outpost american newspaper fictional twentieth century french city brings life collection stories published french dispatch magazine,comedi drama romanc love letter journalist set outpost american newspap fiction twentieth centuri french citi bring life collect stori publish french dispatch magazin
Wonka,/title/tt6166392/,Adventure Comedy Family             The story will focus specifically on a young Willy Wonka and how he met the OompaLoompas on one of his earliest adventures,adventure comedy family story focus specifically young willy wonka met oompaloompas one earliest adventures,adventur comedi famili stori focus specif young willi wonka met oompaloompa one earliest adventur
No Country for Old Men,/title/tt0477348/,Crime Drama Thriller             Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande,crime drama thriller violence mayhem ensue hunter stumbles upon drug deal gone wrong two million dollars cash near rio grande,crime drama thriller violenc mayhem ensu hunter stumbl upon drug deal gone wrong two million dollar cash near rio grand
The Irishman,/title/tt1302006/,Biography Crime Drama             An illustration of Frank Sheerans life from WWII veteran to hitman for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa,biography crime drama illustration frank sheerans life wwii veteran hitman bufalino crime family alleged assassination close friend jimmy hoffa,biographi crime drama illustr frank sheeran life wwii veteran hitman bufalino crime famili alleg assassin close friend jimmi hoffa
Don't Worry Darling,/title/tt10731256/,Drama Thriller             A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets,drama thriller 1950s housewife living husband utopian experimental community begins worry glamorous company could hiding disturbing secrets,drama thriller 1950s housewif live husband utopian experiment communiti begin worri glamor compani could hide disturb secret
Sicario,/title/tt3397884/,Action Crime Drama             An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the US and Mexico,action crime drama idealistic fbi agent enlisted government task force aid escalating war drugs border area us mexico,action crime drama idealist fbi agent enlist govern task forc aid escal war drug border area us mexico
Forrest Gump,/title/tt0109830/,Drama Romance             The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75 whose only desire is to be reunited with his childhood sweetheart,drama romance presidencies kennedy johnson vietnam war watergate scandal historical events unfold perspective alabama man iq 75 whose desire reunited childhood sweetheart,drama romanc presid kennedi johnson vietnam war waterg scandal histor event unfold perspect alabama man iq 75 whose desir reunit childhood sweetheart
The Silence of the Lambs,/title/tt0102926/,Crime Drama Thriller             A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims,crime drama thriller young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims,crime drama thriller young fbi cadet must receiv help incarcer manipul cannib killer help catch anoth serial killer madman skin victim
Tombstone,/title/tt0108358/,Biography Drama History             A successful lawmans plans to retire anonymously in Tombstone Arizona are disrupted by the kind of outlaws he was famous for eliminating,biography drama history successful lawmans plans retire anonymously tombstone arizona disrupted kind outlaws famous eliminating,biographi drama histori success lawman plan retir anonym tombston arizona disrupt kind outlaw famous elimin
The Prestige,/title/tt0482571/,Drama Mystery SciFi             After a tragic accident two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other,drama mystery scifi tragic accident two stage magicians 1890s london engage battle create ultimate illusion sacrificing everything outwit,drama mysteri scifi tragic accid two stage magician 1890s london engag battl creat ultim illus sacrif everyth outwit
Alien,/title/tt0078748/,Horror SciFi             The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission,horror scifi crew commercial spacecraft encounter deadly lifeform investigating unknown transmission,horror scifi crew commerci spacecraft encount dead lifeform investig unknown transmiss
Starship Troopers,/title/tt0120201/,Action Adventure SciFi             Humans in a fascist militaristic future wage war with giant alien bugs,action adventure scifi humans fascist militaristic future wage war giant alien bugs,action adventur scifi human fascist militarist futur wage war giant alien bug
No Time to Die,/title/tt2382320/,Action Adventure Thriller             James Bond has left active service His peace is shortlived when Felix Leiter an old friend from the CIA turns up asking for help leading Bond onto the trail of a mysterious villain armed with dangerous new technology,action adventure thriller james bond left active service peace shortlived felix leiter old friend cia turns asking help leading bond onto trail mysterious villain armed dangerous new technology,action adventur thriller jame bond left activ servic peac shortliv felix leiter old friend cia turn ask help lead bond onto trail mysteri villain arm danger new technolog
A Good Person,/title/tt14153080/,Drama             Follows Allison whose life falls apart following her involvement in a fatal accident,drama follows allison whose life falls apart following involvement fatal accident,drama follow allison whose life fall apart follow involv fatal accid
Star Wars: Episode IV - A New Hope,/title/tt0076759/,Action Adventure Fantasy             Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empires worlddestroying battle station while also attempting to rescue Princess Leia from the mysterious Darth Vader,action adventure fantasy luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempting rescue princess leia mysterious darth vader,action adventur fantasi luke skywalk join forc jedi knight cocki pilot wookie two droid save galaxi empir worlddestroy battl station also attempt rescu princess leia mysteri darth vader
Gods of Egypt,/title/tt2404233/,Action Adventure Drama             Mortal hero Bek teams with the god Horus in an alliance against Set the merciless god of darkness who has usurped Egypts throne plunging the once peaceful and prosperous empire into chaos and conflict,action adventure drama mortal hero bek teams god horus alliance set merciless god darkness usurped egypts throne plunging peaceful prosperous empire chaos conflict,action adventur drama mortal hero bek team god horus allianc set merciless god dark usurp egypt throne plung peac prosper empir chao conflict
Tár,/title/tt14444726/,Drama Music             Set in the international world of Western classical music the film centers on Lydia Tár widely considered one of the greatest living composerconductors and the very first female director of a major German orchestra,drama music set international world western classical music film centers lydia tár widely considered one greatest living composerconductors first female director major german orchestra,drama music set intern world western classic music film center lydia tár wide consid one greatest live composerconductor first femal director major german orchestra
Avengers: Infinity War,/title/tt4154756/,Action Adventure SciFi             The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe,action adventure scifi avengers allies must willing sacrifice attempt defeat powerful thanos blitz devastation ruin puts end universe,action adventur scifi aveng alli must will sacrific attempt defeat power thano blitz devast ruin put end univers
Harry Potter and the Goblet of Fire,/title/tt0330373/,Adventure Family Fantasy             Harry Potter finds himself competing in a hazardous tournament between rival schools of magic but he is distracted by recurring nightmares,adventure family fantasy harry potter finds competing hazardous tournament rival schools magic distracted recurring nightmares,adventur famili fantasi harri potter find compet hazard tournament rival school magic distract recur nightmar
Terrifier 2,/title/tt10403420/,Horror             After being resurrected by a sinister entity Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night,horror resurrected sinister entity art clown returns timid town miles county targets teenage girl younger brother halloween night,horror resurrect sinist entiti art clown return timid town mile counti target teenag girl younger brother halloween night
A League of Their Own,/title/tt0104694/,Comedy Drama Sport             Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry,comedy drama sport two sisters join first female professional baseball league struggle help succeed amid growing rivalry,comedi drama sport two sister join first femal profession basebal leagu struggl help succeed amid grow rivalri
The Gray Man,/title/tt1649418/,Action Thriller             When the CIAs most skilled operative whose true identity is known to none accidentally uncovers dark agency secrets a psychopathic former colleague puts a bounty on his head setting off a global manhunt by international assassins,action thriller cias skilled operative whose true identity known none accidentally uncovers dark agency secrets psychopathic former colleague puts bounty head setting global manhunt international assassins,action thriller cia skill oper whose true ident known none accident uncov dark agenc secret psychopath former colleagu put bounti head set global manhunt intern assassin
The Three Musketeers,/title/tt1509767/,Action Adventure Fantasy             The hotheaded young DArtagnan along with three former legendary but now downontheirluck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war,action adventure fantasy hotheaded young dartagnan along three former legendary downontheirluck musketeers must unite defeat beautiful double agent villainous employer seizing french throne engulfing europe war,action adventur fantasi hothead young dartagnan along three former legendari downontheirluck musket must unit defeat beauti doubl agent villain employ seiz french throne engulf europ war
American Beauty,/title/tt0169547/,Drama             A sexually frustrated suburban father has a midlife crisis after becoming infatuated with his daughters best friend,drama sexually frustrated suburban father midlife crisis becoming infatuated daughters best friend,drama sexual frustrat suburban father midlif crisi becom infatu daughter best friend
It,/title/tt1396484/,Horror             In the summer of 1989 a group of bullied kids band together to destroy a shapeshifting monster which disguises itself as a clown and preys on the children of Derry their small Maine town,horror summer 1989 group bullied kids band together destroy shapeshifting monster disguises clown preys children derry small maine town,horror summer 1989 group bulli kid band togeth destroy shapeshift monster disguis clown prey children derri small main town
Idiocracy,/title/tt0387808/,Adventure Comedy SciFi             Corporal Joe Bauers a decisively average American is selected as a guinea pig for a topsecret hibernation program but is forgotten awakening to a future so incredibly moronic hes easily the most intelligent person alive,adventure comedy scifi corporal joe bauers decisively average american selected guinea pig topsecret hibernation program forgotten awakening future incredibly moronic hes easily intelligent person alive,adventur comedi scifi corpor joe bauer decis averag american select guinea pig topsecret hibern program forgotten awaken futur incred moron hes easili intellig person aliv
The Godfather Part II,/title/tt0071562/,Crime Drama             The early life and career of Vito Corleone in 1920s New York City is portrayed while his son Michael expands and tightens his grip on the family crime syndicate,crime drama early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate,crime drama earli life career vito corleon 1920s new york citi portray son michael expand tighten grip famili crime syndic
Carrie,/title/tt1939659/,Drama Horror Thriller             A shy girl outcast by her peers and sheltered by her religious mother unleashes telekinetic terror on her small town after being pushed too far at her senior prom,drama horror thriller shy girl outcast peers sheltered religious mother unleashes telekinetic terror small town pushed far senior prom,drama horror thriller shi girl outcast peer shelter religi mother unleash telekinet terror small town push far senior prom
The Shining,/title/tt0081505/,Drama Horror             A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future,drama horror family heads isolated hotel winter sinister presence influences father violence psychic son sees horrific forebodings past future,drama horror famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur
Champions,/title/tt15339570/,Comedy Drama Sport             A former minorleague basketball coach is ordered by the court to manage a team of players with intellectual disabilities He soon realizes that despite his doubts together this team can go further than they ever imagined,comedy drama sport former minorleague basketball coach ordered court manage team players intellectual disabilities soon realizes despite doubts together team go ever imagined,comedi drama sport former minorleagu basketbal coach order court manag team player intellectu disabl soon realiz despit doubt togeth team go ever imagin
The Goonies,/title/tt0089218/,Adventure Comedy Family             A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirates longlost treasure,adventure comedy family group young misfits called goonies discover ancient map set adventure find legendary pirates longlost treasure,adventur comedi famili group young misfit call gooni discov ancient map set adventur find legendari pirat longlost treasur
American Pie,/title/tt0163651/,Comedy             Four teenage boys enter a pact to lose their virginity by prom night,comedy four teenage boys enter pact lose virginity prom night,comedi four teenag boy enter pact lose virgin prom night
Joker,/title/tt7286456/,Crime Drama Thriller             The rise of Arthur Fleck from aspiring standup comedian and pariah to Gothams clown prince and leader of the revolution,crime drama thriller rise arthur fleck aspiring standup comedian pariah gothams clown prince leader revolution,crime drama thriller rise arthur fleck aspir standup comedian pariah gotham clown princ leader revolut
Troy,/title/tt0332452/,Drama             An adaptation of Homers great epic the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved,drama adaptation homers great epic film follows assault troy united greek forces chronicles fates men involved,drama adapt homer great epic film follow assault troy unit greek forc chronicl fate men involv
To All the Boys I've Loved Before,/title/tt3846674/,Comedy Drama Romance             A teenage girls secret love letters are exposed and wreak havoc on her love life,comedy drama romance teenage girls secret love letters exposed wreak havoc love life,comedi drama romanc teenag girl secret love letter expos wreak havoc love life
Jaws,/title/tt0073195/,Adventure Mystery Thriller             When a killer shark unleashes chaos on a beach community off Cape Cod its up to a local sheriff a marine biologist and an old seafarer to hunt the beast down,adventure mystery thriller killer shark unleashes chaos beach community cape cod local sheriff marine biologist old seafarer hunt beast,adventur mysteri thriller killer shark unleash chao beach communiti cape cod local sheriff marin biologist old seafar hunt beast
Amsterdam,/title/tt10304142/,Comedy Drama History             In the 1930s three friends witness a murder are framed for it and uncover one of the most outrageous plots in American history,comedy drama history 1930s three friends witness murder framed uncover one outrageous plots american history,comedi drama histori 1930s three friend wit murder frame uncov one outrag plot american histori
Casablanca,/title/tt0034583/,Drama Romance War             A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco,drama romance war cynical expatriate american cafe owner struggles decide whether help former lover fugitive husband escape nazis french morocco,drama romanc war cynic expatri american cafe owner struggl decid whether help former lover fugit husband escap nazi french morocco
The Evil Dead,/title/tt0083907/,Horror             Five friends travel to a cabin in the woods where they unknowingly release fleshpossessing demons,horror five friends travel cabin woods unknowingly release fleshpossessing demons,horror five friend travel cabin wood unknow releas fleshpossess demon
Avatar,/title/tt0499549/,Action Adventure Fantasy             A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home,action adventure fantasy paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting world feels home,action adventur fantasi parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect world feel home
School of Rock,/title/tt0332379/,Comedy Music             After being kicked out of his rock band Dewey Finn becomes a substitute teacher of an uptight elementary private school only to try and turn his class into a rock band,comedy music kicked rock band dewey finn becomes substitute teacher uptight elementary private school try turn class rock band,comedi music kick rock band dewey finn becom substitut teacher uptight elementari privat school tri turn class rock band
Extraction 2,/title/tt12263384/,Action Thriller             After barely surviving his grievous wounds from his mission in Dhaka Bangladesh Tyler Rake is back and his team is ready to take on their next mission,action thriller barely surviving grievous wounds mission dhaka bangladesh tyler rake back team ready take next mission,action thriller bare surviv grievous wound mission dhaka bangladesh tyler rake back team readi take next mission
Knives Out,/title/tt8946378/,Comedy Crime Drama             A detective investigates the death of the patriarch of an eccentric combative family,comedy crime drama detective investigates death patriarch eccentric combative family,comedi crime drama detect investig death patriarch eccentr combat famili
Wifelike,/title/tt15978956/,SciFi Thriller             When artificial human Meredith is assigned as a companion to grieving widower William she is designed to behave like his late wife But in the fight to end AI exploitation an organization attempts to sabotage her programming,scifi thriller artificial human meredith assigned companion grieving widower william designed behave like late wife fight end ai exploitation organization attempts sabotage programming,scifi thriller artifici human meredith assign companion griev widow william design behav like late wife fight end ai exploit organ attempt sabotag program
Requiem for a Dream,/title/tt0180093/,Drama             The druginduced utopias of four Coney Island people are shattered when their addictions run deep,drama druginduced utopias four coney island people shattered addictions run deep,drama druginduc utopia four coney island peopl shatter addict run deep
